이름,슬롯,타입,옵션
Demon's Revenge,Wrists,Set Bracers,Part of the Demon ; The two piece set bonus will give you 999 Thorns as Fire damage. ; The three piece set bonus will give you a 1.1% Chance to Fear enemies on hit. ; The four piece set bonus will give you a 3% damage bonus to demons and you gain a chance to reflect enemy projectiles. ; Demon's Skin Demon's Flight ; Demon's Lock
Demon's Scale,Legs,Set Pants,Part of the Demon ; The two piece set bonus will give you 999 Thorns as Fire damage. ; The three piece set bonus will give you a 1.1% Chance to Fear enemies on hit. ; The four piece set bonus will give you a 3% damage bonus to demons and you gain a chance to reflect enemy projectiles. ; Demon's Skin Demon's Flight ; Demon's Lock
Demonic Essence,Material,Crafting Material,Found on the most challenging monsters. Used by Artisans to craft and modify items. ; Obtained by defeated level 1-60 elite enemy packs.
Denial,Off-hand,Shield,"Each enemy hit by your Sweep Attack increases the damage of your next Sweep Attack by 30–40%, stacking up to 5 times."
Depth Diggers,Legs,Pants,"Primary skills that generate resource deal 80–100% additional damage. ; Does this increase the damage of the Wizard's Primary Skills if they crit and if the Wizard has AP on Crit on their gear? ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 397–471 Base Armor"
Devastator,Weapon (1H),One-Handed Mace,Fire skills deal 15–20% more damage. Crafted Mace that has 4 random Magic Properties.
Devil Tongue,Weapon (1H),One-Handed Sword,"26-80% Extra Gold from Monsters. ; Weapons don't normally roll with gold find. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
Dishonored Legacy,Weapon (1H),One-Handed Mighty Weapon,Cleave deals up to 300–400% increased damage based on percentage of missing Fury.
Doombringer,Weapon (1H),One-Handed Sword,"Physical skills deal 15–20% more damage. ; Weapons don't normally have Life % on them. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
Dovu Energy Trap,Neck,Amulet,"Increases duration of Stun effects by 20–25% ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Primary Stats"
Drakon's Lesson,Wrists,Bracers,When your Shield Bash hits 3 or less enemies its damage is increased by 150-200% and 25% of its Wrath cost is refunded ; More details will be posted once we find out more about the item. ; The minimum level this item can drop at is 70. Below you will find the range of stats found on the level 70 version. ; 336-421 Base Armor ; Primary Stat ; Critical Hit Chance Increased by 4.5–6.0%
Dread Iron,Waist,Mighty Belt,"Ground Stomp causes an Avalanche. ; This item was exclusive to Season 3. However it can now drop in any game mode. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; 206–225 Base Armor"
Earthshatter,Weapon (1H),One-Handed Mace,20–35% chance to cause the ground to shudder when attacking. Crafted Mace that has 2 random Magic Properties. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 stat ranges shown below. ; Damage ; 246.5–253.6 Base DPS ; (145–149)–(266–274) Damage
Eberli Charo,Off-hand,Shield,"Reduces the cooldown of Heaven ; This shield can reduce the cooldown of Heaven's Fury from 20 seconds to 10 seconds. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 256–319 Base Armor"
Echoing Fury,Weapon (1H),One-Handed Mace,"10.0–20.0% Chance to Fear on Hit ; This mace has a very high fear chance. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
Eight-Demon Boots,Feet,Set Boots,"Part of the Raiment of a Thousand Storms set ; On the Public Test Realm for patch 2.2 this set has it's effect changed. Note the effect may change before the patch is released on live servers. ; (2) Set: ; Your Spirit Generators have 25% increased attack speed and 300% increased damage. ; (4) Set: ; Dashing Strike now spends 75 Spirit, but refunds a Charge when it does."
Emimei’s Duffel,Off-hand,Quiver,"Bolas now explode instantly. ; The skill Bolas generally explodes after 1 second, this skill makes it instant. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Primary Stats"
Empyrean Messenger,Weapon (1H),Spear,"No unique legendary effect. ; Weapons don't normally roll with Resistance to All Elements. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
Enchanting Favor,,Templar Relics,"Equip on Follower: Your follower cannot die. ; While wearing this Relic, your Templar will never fall to his knees in battle. ; The minimum level this item can drop at is 61. Below you will find the range of stats found on the level 61 version, however the item can drop at any level above 61. The legendary effect does not change with level. ; +4 Random Magic Properties ; A diaphanous scarf given as a token of affection from a lady fair."
Enforcer,Gem,Gem,Increase the damage of your pets by 15% Your pets take 25% less damage. (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +0.3% Damage. ; This stone shares its powerful heart with those who serve the bearer.
Envious Blade,Weapon (1H),Dagger,Gain 100% Critical Hit Chance against enemies at full health.
Erlang Shen,Head,Spirit Stone,No unique legendary effect.
Esoteric Alteration,Gem,Gem,"Gain 10.0% non-Physical damage reduction. While below half Life, your resistances to Cold, Fire, Lightning, Poison, and Arcane are increased by 75%. ; This item was an exclusive Season 2 drop, but now can be found anywhere as of Patch 2.2.0 and the end of Season 2. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; +0.5% non-Physical damage reduction per gem rank."
Essence of Amethyst,Material,Crafting Material,Sold by Squirt the Peddler in Act 2 and used in Kanai Cube Recipes. ; Sold by Squirt the Peddler in Act 2.Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Essence of Diamond,Material,Crafting Material,Sold by Squirt the Peddler in Act 2 and used in Kanai Cube Recipes. ; Sold by Squirt the Peddler in Act 2.Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Essence of Emerald,Material,Crafting Material,Sold by Squirt the Peddler in Act 2 and used in Kanai Cube Recipes. ; Sold by Squirt the Peddler in Act 2.Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Essence of Ruby,Material,Crafting Material,Sold by Squirt the Peddler in Act 2 and used in Kanai Cube Recipes. ; Sold by Squirt the Peddler in Act 2.Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Essence of Topaz,Material,Crafting Material,Sold by Squirt the Peddler in Act 2 and used in Kanai Cube Recipes. ; Sold by Squirt the Peddler in Act 2.Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Eternal Union,Ring,Ring,"Increases the duration of Phalanx avatars by 200%. ; This ring increases the duration of your Phalanx avatars by 200%. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; One of 3 Magic Properties (varies)"
Etrayu,Weapon (2H),Bow,Cold skills deal 15–20% more damage. ; Gives Demon Hunter's a weapon that increases the damage of the following Cold skills: ; Bolas – Freezing Strike ; Impale – Overpenetration ; Rapid Fire – Frost Shots ; Elemental Arrow – Frost Arrow
Eun-Jang-Do,Weapon (1H),Dagger,"Attacking enemies below 17-20% Life freezes them for 3 seconds. ; This item was added in a recent patch, please comment below if you have any information explaining how this item works. Flavour Text These Xiansai daggers of silver and steel were often carried by Sisters of the Sightless Eye, engraved with oaths of fidelity to their cause. Enemies who closed quickly believed themselves safe from the Sister’s bow. And they were, but not from the Eun-jang-do."
Exarian,Weapon (1H),One-Handed Sword,"Critical Hit Damage Increased by 26.0–35.0% ; Only some legendary weapons can roll with Critical Hit Damage. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level."
Exquisite Essence,Material,Crafting Material,Obtained by using the Blacksmith to salvage magic weapons and armor. ; Obtained by salvaging level 1-60 magic quality items. ; Maximum Stack Amount: 1000 Flavour Text Artisans through the ages have relied on magic materials to enhance and create powerful items.
Eye of Etlich,Neck,Amulet,Increase One of 7 Elemental Damage Types (varies)
Eye of Peshkov,Head,Spirit Stone,"Reduce the cooldown of Breath of Heaven by 38-50% ; The default cooldown of Breath of Heaven is 15 seconds. The Eye of Peshkov can reduce the cooldown to a minimum of 7.5 seconds. This allows you to constantly keep up the Blazing Wrath rune up for it's 10% increased damage buff. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114–149 Base Armor"
Eyes of the Earth,Head,Set Helmet,Part of the Might of the Earth set ; The two piece set bonus decreases the Earthquake cooldown by 2 seconds for each enemy killed by the Earthquake. ; The four piece set bonus will cast Earthquake where you land your Leap. ; Earthquakes generated by the 4 piece set bonus WILL generate Fury if you're using the Earthen Might Passive Skill. ; Might of the Earth Pull of the Earth ; Spires of the Earth
Faithful Memory,Weapon (2H),Two-Handed Sword,"Ranged and melee attackers take 1-2 damage per hit. ; Weapons don't normally roll with Thorns damage. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level. ; Damage"
Fate of the Fell,Weapon (1H),Two-Handed Flail,"Gain two additional rays of Heaven’s Fury. ; Extra Fires of Heaven (a Heaven's Fury rune) hits generate procs. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Fazula's Improbable Chain,Waist,Belt,You automatically start with 15–20 Archon stacks when entering Archon form.
Fiendish Grips,Hands,Set Gloves,Part of the Unhallowed Essence set
Fierce Gauntlets,Hands,Set Gloves,Part of the Delsere
Fiery Brimstone,Material,Crafting Material,Obtained by using the Blacksmith to salvage legendary weapons and armor. ; Obtained by salvaging level 1-60 legendary items. ; Maximum Stack Amount: 1000 Flavour Text Artisans through the ages have relied on exotic materials to enhance and create the most powerful items.
Fire Brand,Weapon (2H),Two-Handed Axe,"25–50% chance to cast a fireball when attacking. Crafted Two-Handed Axe that has 3 random Magic Properties. ; The fireball shoots out in the direction that you are facing. ; Does not need to target to proc. ; While testing with 107,000 DPS, the largest fireball crit observed was only 1,037 damage. ; 33,480 Gold ; 36x Common Debris"
Fire Walkers,Feet,Boots,"Burn the ground you walk on, dealing 300-400% weapon damage each second. ; Basic Information ; Advanced Information ; Pictures and Video ; Breaks objects such as barrels and vases that you walk by. ; Benefits from +% Fire Elemental Damage ."
Firebird's Breast,Chest,Set Chest Armor,Part of the Firebird
Firebird's Down,Legs,Set Pants,Part of the Firebird
Firebird's Eye,Off-hand,Set Orb,Fire skills deal 15–20% more damage Part of the Firebird
Firebird's Pinions,Shoulders,Set Shoulders,Part of the Firebird
Firebird's Plume,Head,Set Helmet,Part of the Firebird
Firebird's Talons,Hands,Set Gloves,Part of the Firebird
Firebird's Tarsi,Feet,Set Boots,Part of the Firebird
Fists of Thunder,Hands,Set Gloves,"Part of the Raiment of a Thousand Storms set ; On the Public Test Realm for patch 2.2 this set has it's effect changed. Note the effect may change before the patch is released on live servers. ; (2) Set: ; Your Spirit Generators have 25% increased attack speed and 300% increased damage. ; (4) Set: ; Dashing Strike now spends 75 Spirit, but refunds a Charge when it does."
Fjord Cutter,Weapon (1H),One-Handed Mighty Weapon,20–30% chance to be surrounded by a Chilling Aura when attacking. ; Basic Information ; Advanced Information ; Pictures and Video ; Slows nearby enemies. ; Deals 350% weapon damage over 5 seconds. (70% damage a second)
Fleeting Strap,Waist,Belt,"Attack Speed Increased by 5.0–7.0% Crafted Belt that has 5 random Magic Properties. ; Belts don't normally roll with Attack Speed. ; Level 70 stat ranges shown below. ; 440–506 Base Armor ; +5 Random Magic Properties ; ""The demon hunter drew her crossbow faster than the eye could follow, impaling her targets before they could move against her."" — Tales of the Wasteland"
Flesh Tearer,Weapon (1H),One-Handed Axe,"No unique legendary effect. ; No extra details on this item. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
Flying Dragon,,Daibo,"Chance to double your attack speed when attacking. ; Creates a slight wind graphic around your character. ; Double attack speed lasts for 6 seconds. ; During testing it was triggered every 20-30 seconds on average. However it can be occur more often or even twice in a row. ; The following video highlights the items effect, it contains the same information as provided on this page."
Focus,Ring,Set Ring,Part of the Bastions of Will set
Forgotten Soul,Material,Crafting Material,Obtained by using the Blacksmith to salvage legendary weapons and armor. Also dropped by Rift Guardians. ; Obtained by salvaging level 61-70 legendary items. ; Has a small chance to drop from Nephalem Rift bosses in level 61-70 rifts. Maximum Stack Amount: 1000 Flavour Text Artisans through the ages have relied on exotic materials to enhance and create the most powerful items.
Foundation of the Light,Feet,Set Boots,Part of the Seeker of the Light set
Fragment of Destiny,Weapon (1H),Wand,"Increases Spectral Blade Damage by 15-30%. ; This wand rolls with a large damage bonus to Spectral Blades. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level."
Freeze of Deflection,Off-hand,Shield,"Blocking an attack has a chance to Freeze the attacker for 0.5–1.5 seconds. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 580–619 Base Armor"
Frostburn,Hands,Gloves,"Your Chill effects have up to a 34–45% chance to Freeze instead of Slow. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; 280–308 Base Armor"
Frydehr's Wrath,Off-hand,Crusader Shield,"Condemn has no cooldown but instead costs 40 Wrath. ; This item was an exclusive Season 1 drop, but now can be found anywhere as of Patch 2.1.2 and the end of Season 1. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; This shield removes Condemn's cooldown and causes it to spend 40 Wrath. ; Level 70 stat ranges shown below. ; 1980–2277 Base Armor"
Fulminator,Weapon (1H),One-Handed Sword,"Lighting damage has a chance to turn enemies into lightning rods, causing them to pulse 444-555% weapon damage as Lightning every second to nearby enemies for 6 seconds. ; Basic Information ; Advanced Information ; Pictures and Video ; Benefits from Lightning skills deal X% more damage . ; Applies a debuff on the target that pulses lightning damage to enemies around it."
Fury of the Ancients,Shoulders,Shoulders,Call of the Ancients gains the effect of the Ancients
Fury of the Vanished Peak,Weapon (2H),Two-Handed Mighty Weapon,"Reduces the Fury cost of Seismic Slam by 40–50% ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Gabriel's Vambraces,Wrists,Bracers,"When your Blessed Hammer hits 3 or fewer enemies, 75–100% of its Wrath Cost is refunded."
Gauntlets of Akkhan,Hands,Set Gloves,Part of the Armor of Akkhan set ; The two piece set bonus will increase your Strength by 500. ; The four piece bonus decreases the cost of all your abilities by 50% during the 20 seconds that Akarat's Chamption is active. ; The six piece bonus reduces the cooldown of Akarat's Chamption down to 45 seconds. ; Armor of Akkhan Cuisses of Akkhan ; Breastplate of Akkhan
Gauntlets of the Rain,Hands,Gloves,While Rain of Vengeance is active you take 30-40% reduced damage ; This item is currently on the Public Test Realm for patch 2.2. Note the effect may change before the patch is released on live servers. More details will be posted once we find out more about the item. ; The Assassin Natalya used these gloves while learning the finer points of murderous archery.
Gem of Ease,Gem,Gem,"Monster kills grant +500 experience. Level Requirement Set to 1. (Requires Rank 25) ; EXP is multiplied by the difficulty multiplier ; This is intended to be an exorbitant amount of experience for a low level character ; For example: ; A level 1 monster grants 40 experience ; A level 55 monster grants 8,700 experience"
Gem of Efficacious Toxin,Gem,Gem,Poison all enemies hit for 2000% weapon damage over 10 seconds. All enemies you poison take 10% increased damage from all sources. (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +50% weapon damage over 10 seconds. ; Benefits from Poison skills deal X% more damage . ; Pets (including your Follower) will apply the toxin effect.
Genzaniku,Weapon (1H),One-Handed Axe,Chance to summon a ghostly Fallen Champion when attacking. ; Basic Information ; Advanced Information ; Pictures and Video ; The Fallen Champion lasts for 15 seconds or until killed. ; Deals 100% weapon damage per swing.
Gesture of Orpheus,Weapon (1H),Wand,"Reduces the cooldown of Slow Time by 50–70%. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 50 Stats ; Level 70 Stats ; The minimum level this item can drop at is 50. Below you will find the range of stats found on the level 50 version, however the item can drop at any level above 50. The legendary effect does not change with level. ; Damage"
Gift of Silaria,Weapon (1H),One-Handed Sword,"+10–12% Movement Speed ; Weapons don't usually roll with Movement Speed. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Girdle of Giants,Waist,Mighty Belt,"Attack Speed Increased by 2.0–7.0% ; Mighty Belts don't normally roll with Attack Speed. ; Level 8 Stats ; Level 70 Stats ; The minimum level this item can drop at is 8. Below you will find the range of stats found on the level 8 version, however the item can drop at any level above 8. The legendary effect does not change with level. ; 53–61 Base Armor"
Gladiator Gauntlets,Hands,Gloves,"After earning a massacre bonus, gold rains from the sky. ; Gold Rain Research The gold actually hops out of your character after you receive the Massacre notification. ; Three piles of gold drop. ; It appears that there is no relationship between the number of kills in your massacre & the gold amount. ; Difficulty level and Gold Find increase the amount of gold dropped. ; The following are averages after 50 Massacre Bonuses. Highest single gold pile was 5,176 on Torment 5."
Gloves of Worship,Hands,Gloves,"Shrine effects last for 10 minutes. ; Does not affect Pylons. (Nephalem Rift Shrines) Randomly drops from the Act 2 & 4 Horadric Cache, the reward for completing all 5 bounties in the act. ; If you remove these gloves after activating a shrine, you will lose the shrine's effect. ; This item is a Reaper of Souls only item. ; Level 12 Stats ; Level 70 Stats"
Gogok of Swiftness,Gem,Gem,"50% chance on hit to gain Swiftness, increasing your Attack Speed by 1% for 3 seconds. This effect stacks up to 15 times. Also gain 1% Cooldown Reduction per stack. (Requires Rank 25) ; Only found in Greater Rifts. ; Legendary effect displayed above is of a Rank 1 gem. ; Upgrade rank grants: +1% chance. ; The Cool-down Reduction (CDR) given by the gem works like other CDR on your gear i.e. it is multiplicative. ; The cool-down on your abilities is calculated upon activation of the ability, and is not updated dynamically i.e. if you activate an ability without any Gogock stacks up, then that ability will not receive any benefit from any Gogock stacks subsequently acquired until you activate that ability again with the stacks up."
Golden Flense,Weapon (1H),Two-Handed Flail,"Sweep Attack restores 4–6 Wrath for each enemy hit. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; Damage"
Golden Gorget of Leoric,Neck,Amulet,"After earning a massacre bonus, 4–6 Skeletons are summoned to fight by your side for 10 seconds. ; Basic Information ; Advanced Information ; Pictures and Video ; Summons a random mixture of ranged and melee Skeletons for 10 seconds when you achieve a killing spree. ; No internal cooldown."
Golden Scourge,Weapon (1H),One-Handed Flail,Smite now jumps to 3 additional enemies. Holy skills deal 15–20% more damage. Crafted Flail that has 6 random Magic Properties.
Goldskin,Chest,Chest Armor,"Chance for enemies to drop gold when you hit them. 100% Extra Gold From Monsters. ; Amount of gold dropped is effected by difficulty level and Gold Find ; Drop chance is very low. However, it appears to have no internal cooldown. ; Cannot drop if the monster does not drop loot normally. (Infinite spawning monsters for example) ; Level 50 Stats ; Level 70 Stats"
Goldwrap,Waist,Belt,"On gold pickup: Gain armor for 5 seconds equal to the amount picked up. ; The armor you receive is equal to the amount of gold you pick up and is modified by things such as % armor from Paragon points. If you have increased your armor by 8% using Paragon points, you will receive 8% more armor than the amount of gold that you picked up. ; There is no visual cue when the effect happens unless you look at your Toughness stat. ; Works well when combined with Goldskin or Gladiator Gauntlets ; Level 8 Stats ; Level 70 Stats"
Griswold's Perfection,Weapon (1H),One-Handed Sword,Crafted Sword that has 5 random Magic Properties.
Guardian's Aversion,Wrists,Set Bracers,"Crafted Set Bracers that have 6 random Magic Properties Part of the Guardian ; The two piece set bonus will increase your Vitality by 250 and your life regen by 2,000 life per second. ; The three piece bonus will increase your movement speed by 15%. ; Guardian's Jeopardy Guardian's Aversion ; Guardian's Case ; Guardian's Gaze"
Guardian's Case,Waist,Set Belt,"Crafted Set Belt that has 6 random Magic Properties Part of the Guardian ; The two piece set bonus will increase your Vitality by 250 and your life regen by 2,000 life per second. ; The three piece bonus will increase your movement speed by 15%. ; Guardian's Jeopardy Guardian's Aversion ; Guardian's Case ; Guardian's Gaze"
Guardian's Deflector,Wrists,Set Bracers,Crafted Set helmet that has 4 random Magic Properties Part of the Guardian ; The two piece set bonus will increase your Vitality by 110 and your Life Regen by 130/sec. ; Guardian's Contingency Guardian's Foresight ; Guardian's Sheath ; Guardian's Deflector ; (2) Set: +110 Vitality
Guardian's Foresight,Head,Set Helmet,Crafted Set helmet that has 4 random Magic Properties Part of the Guardian ; The two piece set bonus will increase your Vitality by 110 and your Life Regen by 130/sec. ; Guardian's Contingency Guardian's Deflector ; Guardian's Sheath ; Guardian's Foresight ; (2) Set:
Guardian's Gaze,Head,Set Helmet,"10–12% Movement Speed Crafted Set Helmet that has 5 random Magic Properties Part of the Guardian ; Movement speed does not usually roll on helmets. ; The two piece set bonus will increase your Vitality by 250 and your life regen by 2,000 life per second. ; The three piece bonus will increase your movement speed by 15%. ; Guardian's Jeopardy Guardian's Aversion ; Guardian's Case"
Guardian's Sheath,Waist,Set Belt,Crafted Set belt that has 4 random Magic Properties Part of the Guardian ; The two piece set bonus will increase your Vitality by 110 and your Life Regen by 130/sec. ; Guardian's Contingency Guardian's Deflector ; Guardian's Foresight ; Guardian's Sheath ; (2) Set: +110 Vitality
Gungdo Gear,Wrists,Bracers,"Exploding Palm ; This item was an exclusive Season 2 drop, but now can be found anywhere as of Patch 2.2.0 and the end of Season 2. ; Seasons do not exist in the Console (PS3, PS4, Xbox 360, Xbox One) versions of the game. But these items can still be found. ; The minimum level this item can drop at is 10. Below you will find the range of stats found on the level 10 version. ; 41–48 Base Armor ; One of 3 Magic Properties (varies)"
Gyana Na Kashu,Head,Spirit Stone,"Lashing Tail Kick releases a piercing fireball that deals 525–700% weapon damage as Fire to enemies within 10 yards on impact. ; Benefits from the +% Fire Elemental Damage stat. ; Level 18 Stats ; Level 70 Stats ; The minimum level this item can drop at is 18. Below you will find the range of stats found on the level 18 version, however the item can drop at any level above 18. The legendary effect does not change with level. ; 60–69 Base Armor"
Gyrfalcon's Foote,Weapon (1H),One-Handed Flail,"Removes the resource cost of Blessed Shield. ; This Flail allows you to throw use Blessed Shield without using any Wrath. Throw all the shields you want! ; This item synergizes well with Jekangbord because that shield makes Blessed Shield ricochet to 4–6 additional enemies. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level."
Hack,Weapon (1H),One-Handed Axe,75–100% of your Thorns damage is applied on every attack. ; Basic Information ; Advanced Information ; This item adds a proportion of your thorns damage to every attack you make but it is affected by your ability proc coefficient.
Halcyon's Ascent,Neck,Amulet,"When you use [Class Skill], you mesmerize nearby enemies with your skill, causing them to jump uncontrollably for 6-8 seconds."
Hallowed Barricade,Off-hand,Set Shield,Holy skills deal 15–20% more damage Crafted Set Shield that has 5 random Magic Properties Part of the Hallowed Protectors set ; Shields do not usually roll with increased elemental skill damage. ; The two piece set bonus will give you 100 All Resist and raise your Attack Speed by 10%. ; Hallowed Protectors Hallowed Baton ; Hallowed Breach ; Hallowed Condemnation
Hallowed Baton,Weapon (1H),Set Wand,Crafted Set Wand that has 5 random Magic Properties Part of the Hallowed Protectors set ; The two piece set bonus will give you 100 All Resist and raise your Attack Speed by 10%. ; Hallowed Protectors Hallowed Baton ; Hallowed Breach ; Hallowed Condemnation ; Hallowed Hold
Hallowed Breach,Weapon (1H),Set One-Handed Axe,Crafted Set Axe that has 5 random Magic Properties Part of the Hallowed Protectors set ; The two piece set bonus will give you 100 All Resist and raise your Attack Speed by 10%. ; Hallowed Protectors Hallowed Baton ; Hallowed Breach ; Hallowed Condemnation ; Hallowed Hold
Hallowed Bulwark,Off-hand,Crusader Shield,"Iron Skin also increases your Block Value by 45–60%. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 288–359 Base Armor"
Hallowed Condemnation,Weapon (1H),Set Hand Crossbow,Crafted Set Hand Crossbow that has 5 random Magic Properties Part of the Hallowed Protectors set ; The two piece set bonus will give you 100 All Resist and raise your Attack Speed by 10%. ; Hallowed Protectors Hallowed Baton ; Hallowed Breach ; Hallowed Condemnation ; Hallowed Hold
Hallowed Defender,Off-hand,Set Shield,Crafted Set Shield that has 4 random Magic Properties Part of the Hallowed Defenders set ; The two piece set bonus will increase your All Resist by 40 and your Attack Speed by 5%. ; Hallowed Defenders Hallowed Hand ; Hallowed Judgment ; Hallowed Reckoning ; Hallowed Salvation
Hallowed Hand,Weapon (1H),Set Fist Weapon,Crafted Set Fist Weapon that has 5 random Magic Properties Part of the Hallowed Defenders set ; The two piece set bonus will increase your All Resist by 40 and your Attack Speed by 5%. ; Hallowed Defenders Hallowed Hand ; Hallowed Judgment ; Hallowed Reckoning ; Hallowed Salvation
Hallowed Hold,Weapon (1H),Set Fist Weapon,Crafted Set Fist Weapon that has 5 random Magic Properties Part of the Hallowed Protectors set ; The two piece set bonus will give you 100 All Resist and raise your Attack Speed by 10%. ; Hallowed Protectors Hallowed Baton ; Hallowed Breach ; Hallowed Condemnation ; Hallowed Hold
Hallowed Judgment,Weapon (1H),Set Hand Crossbow,Crafted Set Hand Crossbow that has 5 random Magic Properties Part of the Hallowed Defenders set ; The two piece set bonus will increase your All Resist by 40 and your Attack Speed by 5%. ; Hallowed Defenders Hallowed Hand ; Hallowed Judgment ; Hallowed Reckoning ; Hallowed Salvation
Hallowed Nemesis,Weapon (1H),Set One-Handed Mighty Weapon,Crafted Set One-Handed Mighty Weapon that has 5 random Magic Properties Part of the Hallowed Protectors set ; The two piece set bonus will give you 100 All Resist and raise your Attack Speed by 10%. ; Hallowed Protectors Hallowed Baton ; Hallowed Breach ; Hallowed Condemnation ; Hallowed Hold
